Marka,Model,Seri,Yıl,Kilometre,Renk,Fiyat,Yer,Yakıt Tipi,Vites Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Yakıt Deposu,Çekiş,Kimden
Fiat,1.3 Multijet Active,Albea,2008.0,192000.0,Gri,339950.0,"Yeniyalı Mh. Körfez, Kocaeli",Dizel,Düz,Sedan,1248 cc,70 hp,48 lt,Önden Çekiş,Galeriden
Fiat,EVO 1.3 Multijet Dynamic,Punto,2011.0,258000.0,Beyaz,445000.0,"Aydınevler Mh. Manavgat, Antalya",Dizel,Düz,Hatchback/5,1201 - 1400 cm3,51 - 75 HP,,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Active Plus,Linea,2012.0,218750.0,Gri,378750.0,"Kuzey Mh. Körfez, Kocaeli",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Easy,Egea,2020.0,130000.0,Beyaz,690000.0,"Mustafapaşa Mh. Gebze, Kocaeli",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.6 Multijet Easy,Egea,2018.0,133000.0,Beyaz,735000.0,"Balıkhisar Mh. Akyurt, Ankara",Dizel,Otomatik,Sedan,1401 - 1600 cm3,101 - 125 HP,,Önden Çekiş,Galeriden
Fiat,Sole 1.3 Multijet Dynamic,Albea,2011.0,227000.0,Gri (Gümüş),395000.0,"Mimar Sinan Mh. Tuzla, İstanbul",Dizel,Düz,Sedan,1248 cc,70 hp,48 lt,Önden Çekiş,Galeriden
,,,,,,,,,,,,,,,
Fiat,EVO 1.3 Multijet Dynamic,Punto,2011.0,219000.0,Beyaz,385000.0,"Dereağzı Mh. Beylikdüzü, İstanbul",Dizel,Düz,Hatchback/5,1248 cc,75 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Pop,Linea,2015.0,309000.0,Beyaz,410000.0,"Beyazevler Mh. Gaziemir, İzmir",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Easy,Egea,2018.0,188000.0,Beyaz,625000.0,"Dalyan Mh. Beyşehir, Konya",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,Grande 1.3 Multijet Emotion,Punto,2008.0,240000.0,Gri,440000.0,"Karacami Mh. Payas, Hatay",Dizel,Düz,Hatchback/5,1248 cc,90 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.4 S,Tipo,1997.0,222222.0,Beyaz,132500.0,"Merkez Söke, Aydın",LPG & Benzin,Düz,Hatchback/5,1372 cc,70 hp,55 lt,Önden Çekiş,Galeriden
Fiat,1.4 EL,Palio,2001.0,196000.0,Beyaz,298000.0,"Yeni Sanayi Mh. Nazilli, Aydın",LPG & Benzin,Düz,Hatchback/5,1368 cc,77 hp,51 lt,Önden Çekiş,Galeriden
