date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
13.12.2008;Hertha Berlin;Karlsruher;4;0;Bundesliga;Mostly Cloudy;S;36 °F;9 mph;81 %;30.00 in
13.12.2008;Bochum;Köln;1;2;Bundesliga;Fair;E;23 °F;5 mph;93 %;29.44 in
14.12.2008;Hoffenheim;Schalke 04;1;1;Bundesliga;N/A;NE;26 °F;2 mph;93 %;29.28 in
05.12.2008;Bayern Münih;Hoffenheim;2;1;Bundesliga;Fair;ENE;34 °F;2 mph;87 %;27.80 in
06.12.2008;Schalke 04;Hertha Berlin;1;0;Bundesliga;Mostly Cloudy;SSE;41 °F;3 mph;100 %;29.33 in
06.12.2008;E. Frankfurt;Bochum;4;0;Bundesliga;Mostly Cloudy;S;43 °F;9 mph;93 %;28.99 in
06.12.2008;Karlsruher;Werder Bremen;1;0;Bundesliga;Mostly Cloudy;SSE;41 °F;3 mph;100 %;29.33 in
06.12.2008;E. Cottbus;Stuttgart;0;3;Bundesliga;Mostly Cloudy;SSE;41 °F;3 mph;100 %;29.33 in
06.12.2008;A. Bielefeld;B. Dortmund;0;0;Bundesliga;Mostly Cloudy;SSE;41 °F;3 mph;100 %;29.33 in
06.12.2008;M'gladbach;B. Leverkusen;1;3;Bundesliga;Cloudy;WSW;41 °F;6 mph;100 %;29.23 in
07.12.2008;Wolfsburg;Hannover 96;2;1;Bundesliga;Fair;WSW;44 °F;8 mph;78 %;30.06 in
07.12.2008;Köln;Hamburg;1;2;Bundesliga;Mostly Cloudy;NW;41 °F;9 mph;93 %;29.83 in
28.11.2008;Hertha Berlin;Köln;2;1;Bundesliga;Mostly Cloudy;SSW;45 °F;17 mph;87 %;29.74 in
29.11.2008;Werder Bremen;E. Frankfurt;5;0;Bundesliga;Fair;ESE;34 °F;6 mph;87 %;29.47 in
29.11.2008;B. Leverkusen;Bayern Münih;0;2;Bundesliga;Mostly Cloudy;E;32 °F;3 mph;87 %;29.13 in
29.11.2008;Hannover 96;Karlsruher;3;2;Bundesliga;Fair;ESE;34 °F;8 mph;93 %;29.44 in
29.11.2008;M'gladbach;E. Cottbus;1;3;Bundesliga;Mostly Cloudy;SE;36 °F;7 mph;81 %;29.29 in
29.11.2008;Hoffenheim;A. Bielefeld;3;0;Bundesliga;N/A;SSW;31 °F;2 mph;89 %;29.16 in
30.11.2008;Stuttgart;Schalke 04;2;0;Bundesliga;Fair;SSW;32 °F;2 mph;80 %;27.89 in
30.11.2008;Bochum;Hamburg;1;1;Bundesliga;Fair;E;27 °F;6 mph;100 %;28.88 in
30.11.2008;B. Dortmund;Wolfsburg;0;0;Bundesliga;Fair;E;27 °F;6 mph;100 %;28.88 in
21.11.2008;Karlsruher;B. Dortmund;0;1;Bundesliga;Partly Cloudy;WNW;39 °F;15 mph;87 %;29.47 in
22.11.2008;Bayern Münih;E. Cottbus;4;1;Bundesliga;Mostly Cloudy / Windy;W;34 °F;23 mph;75 %;28.03 in
22.11.2008;Schalke 04;M'gladbach;3;1;Bundesliga;Partly Cloudy;W;34 °F;15 mph;87 %;29.33 in
22.11.2008;Wolfsburg;Stuttgart;4;1;Bundesliga;Fair;WSW;41 °F;9 mph;97 %;30.06 in
22.11.2008;E. Frankfurt;Hannover 96;4;0;Bundesliga;Fair;WSW;36 °F;14 mph;75 %;29.26 in
22.11.2008;Bochum;Hertha Berlin;2;3;Bundesliga;Mostly Cloudy;W;32 °F;13 mph;87 %;29.15 in
22.11.2008;A. Bielefeld;B. Leverkusen;2;1;Bundesliga;Partly Cloudy;W;34 °F;15 mph;87 %;29.33 in
22.11.2008;Köln;Hoffenheim;1;3;Bundesliga;Partly Cloudy;W;34 °F;15 mph;87 %;29.33 in
23.11.2008;Hamburg;Werder Bremen;2;1;Bundesliga;Fair;WNW;32 °F;8 mph;75 %;29.56 in
14.11.2008;Hannover 96;Bochum;1;1;Bundesliga;Fair;SSW;45 °F;12 mph;87 %;30.15 in
15.11.2008;Stuttgart;A. Bielefeld;0;0;Bundesliga;Cloudy;E;30 °F;2 mph;93 %;28.91 in
15.11.2008;B. Leverkusen;Schalke 04;2;1;Bundesliga;Mostly Cloudy;S;48 °F;8 mph;82 %;29.97 in
15.11.2008;Hertha Berlin;Hamburg;2;1;Bundesliga;Mostly Cloudy;WSW;52 °F;15 mph;100 %;30.06 in
15.11.2008;B. Dortmund;E. Frankfurt;4;0;Bundesliga;Mostly Cloudy;WSW;48 °F;14 mph;100 %;29.82 in
15.11.2008;E. Cottbus;Karlsruher;1;0;Bundesliga;Mostly Cloudy;WSW;52 °F;15 mph;100 %;30.06 in
15.11.2008;M'gladbach;Bayern Münih;2;2;Bundesliga;Mostly Cloudy;S;50 °F;8 mph;94 %;30.14 in
15.11.2008;Hoffenheim;Wolfsburg;3;2;Bundesliga;N/A;S;43 °F;4 mph;80 %;30.05 in
16.11.2008;Werder Bremen;Köln;3;1;Bundesliga;Partly Cloudy;W;50 °F;12 mph;94 %;30.15 in
07.11.2008;Köln;Hannover 96;2;1;Bundesliga;Cloudy;E;52 °F;7 mph;94 %;29.95 in
08.11.2008;Hamburg;B. Dortmund;2;1;Bundesliga;Fair;SE;46 °F;6 mph;93 %;29.98 in
08.11.2008;Wolfsburg;E. Cottbus;3;0;Bundesliga;Fair;WSW;45 °F;9 mph;96 %;30.06 in
