date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
01.04.2000;Fenerbahçe;Antalyaspor;1;0;Süper Lig;Fair;CALM;59 °F;0 mph;51 %;29.79 in
02.04.2000;Samsunspor;Altay;1;0;Süper Lig;Fair;WSW;65 °F;7 mph;86 %;30.06 in
02.04.2000;Beşiktaş;Ankaragücü;3;1;Süper Lig;Mostly Cloudy;CALM;64 °F;0 mph;56 %;29.76 in
02.04.2000;Kocaelispor;İstanbulspor;2;1;Süper Lig;Mostly Cloudy;CALM;64 °F;0 mph;56 %;29.76 in
24.03.2000;Gaziantepspor;Denizlispor;0;0;Süper Lig;Fair;WSW;55 °F;3 mph;88 %;30.06 in
25.03.2000;İstanbulspor;Vanspor;0;0;Süper Lig;Fair;WSW;65 °F;6 mph;67 %;30.06 in
25.03.2000;Trabzonspor;Beşiktaş;1;2;Süper Lig;Fair;WSW;58 °F;5 mph;49 %;30.06 in
25.03.2000;Bursaspor;Samsunspor;2;2;Süper Lig;Fair;WSW;62 °F;7 mph;54 %;30.06 in
25.03.2000;Adanaspor;Erzurumspor;2;0;Süper Lig;Fair;WSW;69 °F;4 mph;52 %;30.06 in
26.03.2000;Ankaragücü;Gençlerbirliği;0;0;Süper Lig;Fair;WSW;60 °F;8 mph;84 %;30.06 in
26.03.2000;Kocaelispor;Altay;2;1;Süper Lig;Fair;WSW;57 °F;3 mph;85 %;30.06 in
26.03.2000;Antalyaspor;Göztepe;1;0;Süper Lig;Fair;WSW;56 °F;3 mph;91 %;30.06 in
26.03.2000;Galatasaray;Fenerbahçe;0;1;Süper Lig;Fair;WSW;57 °F;3 mph;95 %;30.06 in
17.03.2000;Fenerbahçe;Adanaspor;2;4;Süper Lig;Fair;WSW;57 °F;5 mph;59 %;30.06 in
18.03.2000;Erzurumspor;Ankaragücü;2;1;Süper Lig;Fair;WSW;56 °F;3 mph;60 %;30.06 in
18.03.2000;Beşiktaş;Gaziantepspor;1;0;Süper Lig;Fair;WSW;60 °F;5 mph;49 %;30.06 in
18.03.2000;Bursaspor;Antalyaspor;4;2;Süper Lig;Fair;WSW;58 °F;7 mph;73 %;30.06 in
18.03.2000;Kocaelispor;Samsunspor;0;4;Süper Lig;Fair;WSW;70 °F;6 mph;73 %;30.06 in
19.03.2000;Vanspor;Altay;1;1;Süper Lig;Fair;WSW;62 °F;5 mph;62 %;30.06 in
19.03.2000;Denizlispor;İstanbulspor;3;1;Süper Lig;Fair;WSW;57 °F;5 mph;62 %;30.06 in
19.03.2000;Gençlerbirliği;Trabzonspor;0;1;Süper Lig;Fair;WSW;62 °F;6 mph;49 %;30.06 in
19.03.2000;Göztepe;Galatasaray;0;2;Süper Lig;Fair;WSW;66 °F;5 mph;46 %;30.06 in
10.03.2000;Trabzonspor;Erzurumspor;2;0;Süper Lig;Fair;WSW;57 °F;5 mph;53 %;30.06 in
11.03.2000;Altay;Denizlispor;1;0;Süper Lig;Fair;WSW;57 °F;7 mph;89 %;30.06 in
11.03.2000;Gaziantepspor;Gençlerbirliği;2;1;Süper Lig;Fair;WSW;64 °F;6 mph;92 %;30.06 in
11.03.2000;Ankaragücü;Fenerbahçe;1;1;Süper Lig;Fair;WSW;63 °F;7 mph;72 %;30.06 in
11.03.2000;Kocaelispor;Vanspor;6;1;Süper Lig;Fair;WSW;64 °F;5 mph;52 %;30.06 in
12.03.2000;İstanbulspor;Beşiktaş;0;2;Süper Lig;Fair;WSW;62 °F;5 mph;75 %;30.06 in
12.03.2000;Adanaspor;Göztepe;2;0;Süper Lig;Fair;WSW;59 °F;8 mph;71 %;30.06 in
12.03.2000;Antalyaspor;Samsunspor;0;1;Süper Lig;Fair;WSW;59 °F;6 mph;78 %;30.06 in
12.03.2000;Galatasaray;Bursaspor;6;0;Süper Lig;Fair;WSW;61 °F;6 mph;73 %;30.06 in
03.03.2000;Beşiktaş;Altay;3;0;Süper Lig;Fair;WSW;69 °F;4 mph;78 %;30.06 in
04.03.2000;Erzurumspor;Gaziantepspor;1;1;Süper Lig;Fair;WSW;70 °F;3 mph;78 %;30.06 in
04.03.2000;Gençlerbirliği;İstanbulspor;1;1;Süper Lig;Fair;WSW;56 °F;4 mph;76 %;30.06 in
